Date : 2026-02-01 05:08:50
Directory : /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app
Total : 108 files,  19190 codes, 958 comments, 1766 blanks, all 21914 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/hooks/useSocketIO.ts                             | TypeScript     |        264 |         11 |         47 |        322 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/i18n/index.ts                                    | TypeScript     |         29 |          1 |          7 |         37 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/i18n/locales/en.json                             | JSON           |        316 |          0 |          1 |        317 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/i18n/locales/fr.json                             | JSON           |        336 |          0 |          2 |        338 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/annonces.tsx                               | TypeScript JSX |        503 |         36 |         46 |        585 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/announces.$id.tsx                          | TypeScript JSX |      1,228 |        111 |        102 |      1,441 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/assurance-colis.tsx                        | TypeScript JSX |         49 |          0 |          8 |         57 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/download-app.tsx                           | TypeScript JSX |        214 |          7 |         25 |        246 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/forgot-password.tsx                        | TypeScript JSX |         83 |          0 |          7 |         90 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/help-center.tsx                            | TypeScript JSX |        118 |          2 |         10 |        130 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/home.tsx                                   | TypeScript JSX |         45 |          1 |          5 |         51 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/how-it-works.tsx                           | TypeScript JSX |         58 |          0 |          5 |         63 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/logos.tsx                                  | TypeScript JSX |         57 |          0 |          5 |         62 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/logout.tsx                                 | TypeScript JSX |         35 |          3 |          8 |         46 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/notifications.tsx                          | TypeScript JSX |        276 |          9 |         26 |        311 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/profile.tsx                                | TypeScript JSX |      1,674 |        189 |        152 |      2,015 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/reset-password.tsx                         | TypeScript JSX |        176 |          1 |         16 |        193 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/security-rules.tsx                         | TypeScript JSX |         45 |          0 |         10 |         55 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/stripe-onboarding.tsx                      | TypeScript JSX |        109 |         11 |         15 |        135 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/support.tsx                                | TypeScript JSX |        313 |          9 |         28 |        350 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/terms.tsx                                  | TypeScript JSX |         51 |          0 |          4 |         55 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/transporters.tsx                           | TypeScript JSX |        113 |          0 |          8 |        121 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/root.tsx                                         | TypeScript JSX |        135 |         10 |         19 |        164 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/routes.ts                                        | TypeScript     |         21 |          0 |          2 |         23 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/Api.ts                                  | TypeScript     |         86 |         18 |         28 |        132 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/airlineService.ts                       | TypeScript     |         50 |          2 |          8 |         60 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/airportService.ts                       | TypeScript     |         36 |          1 |          7 |         44 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/alertService.ts                         | TypeScript     |         57 |          0 |          5 |         62 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/announceService.ts                      | TypeScript     |        280 |          9 |         30 |        319 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/authService.ts                          | TypeScript     |        236 |          0 |         21 |        257 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/bookmarkService.ts                      | TypeScript     |         66 |          0 |          7 |         73 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/currencyService.ts                      | TypeScript     |        217 |          6 |         23 |        246 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/demandService.ts                        | TypeScript     |        195 |          8 |         19 |        222 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/messageService.ts                       | TypeScript     |         97 |          5 |          9 |        111 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/notificationService.ts                  | TypeScript     |         62 |          0 |         12 |         74 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/pricingService.ts                       | TypeScript     |         21 |          0 |          3 |         24 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/quotesService.ts                        | TypeScript     |         17 |          0 |          5 |         22 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/requestService.ts                       | TypeScript     |        108 |          0 |         12 |        120 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/reviewService.ts                        | TypeScript     |        103 |          2 |         13 |        118 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/reviewsService.ts                       | TypeScript     |         11 |          0 |          1 |         12 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/socketService.ts                        | TypeScript     |         76 |          7 |         22 |        105 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/stripeService.ts                        | TypeScript     |         29 |          0 |          4 |         33 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/supportService.ts                       | TypeScript     |         73 |          1 |          8 |         82 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/transactionService.ts                   | TypeScript     |         90 |          0 |          6 |         96 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/transportService.ts                     | TypeScript     |         75 |          5 |         12 |         92 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/travelService.ts                        | TypeScript     |        191 |          5 |         19 |        215 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/userService.ts                          | TypeScript     |         11 |          0 |          3 |         14 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/store/auth.ts                                    | TypeScript     |         84 |          0 |          6 |         90 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/utils/cookies.ts                                 | TypeScript     |         16 |          3 |          4 |         23 |
| Total                                                                                                            |                |     19,190 |        958 |      1,766 |     21,914 |
+------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
