"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "CSS", "comment", "blank", "total"
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/reviewService.ts", "TypeScript", 103, 0, 0, 0, 2, 13, 118
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/reviewsService.ts", "TypeScript", 11, 0, 0, 0, 0, 1, 12
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/socketService.ts", "TypeScript", 76, 0, 0, 0, 7, 22, 105
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/stripeService.ts", "TypeScript", 29, 0, 0, 0, 0, 4, 33
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/supportService.ts", "TypeScript", 73, 0, 0, 0, 1, 8, 82
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/transactionService.ts", "TypeScript", 90, 0, 0, 0, 0, 6, 96
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/transportService.ts", "TypeScript", 75, 0, 0, 0, 5, 12, 92
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/travelService.ts", "TypeScript", 191, 0, 0, 0, 5, 19, 215
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/userService.ts", "TypeScript", 11, 0, 0, 0, 0, 3, 14
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/store/auth.ts", "TypeScript", 84, 0, 0, 0, 0, 6, 90
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/utils/cookies.ts", "TypeScript", 16, 0, 0, 0, 3, 4, 23
"Total", "-", 3333, 15091, 652, 114, 958, 1766, 21914
